Date,Market Price,Difficulty,Block Size,Miner Revenue Value,Hash Rate,Transaction Amount,Transactions per Block,Unique Addresses,Number of Transactions,Transaction Fees
2014-12-18,317.7,39457671307.1,0.430028133255,1108773.0,272641.755669,10.7479861576,615.0,225354.0,103161.0,15.70384421
2014-12-19,317.63,39457671307.1,0.389864890806,989099.82,243219.983475,10.7450117325,592.0,160502.0,92052.0,14.30375502
2014-12-20,325.7,39457671307.1,0.37542816595,1152000.9,276564.658629,12.5911370269,418.0,240775.0,91493.0,12.89936506
2014-12-21,326.93,39457671307.1,0.308292691461,1188717.48,284410.464547,14.7065716513,497.0,204217.0,80829.0,11.33814908
2014-12-22,332.53,39457671307.1,0.398021505785,1076732.14,253027.240873,12.0390010846,492.0,195624.0,89437.0,13.1266531
2014-12-23,336.96,39457671307.1,0.340916780778,1369405.44,317755.139701,13.7256233337,447.0,210726.0,99770.0,14.11126208
2014-12-24,327.59,39457671307.1,0.316761174739,1240583.33,296179.173425,13.858943529,472.0,174711.0,89515.0,12.39728577
2014-12-25,319.31,39457671307.1,0.224053851246,1351958.54,331485.300058,19.126797295,583.0,147374.0,70684.0,9.64807936
2014-12-26,328.09,39457671307.1,0.254729045762,1186373.44,282449.013067,16.5463520223,540.0,145412.0,71700.0,16.42976058
2014-12-27,314.45,39457671307.1,0.271393167973,1263774.55,313832.236742,16.0426341779,355.0,188604.0,78776.0,19.41831457
2014-12-28,317.5,39457671307.1,0.254589783217,1329372.5,327562.397099,17.7787770987,451.0,236392.0,74773.0,12.04266588
2014-12-29,314.49,39457671307.1,0.266103580859,1333123.11,331485.300058,16.7032916103,505.0,159314.0,79812.0,14.06563348
2014-12-30,313.09,39457671307.1,0.304879070961,1146848.67,286371.916027,13.4532437505,515.0,181005.0,85247.0,13.95085145
2014-12-31,317.4,40640955016.6,0.274030070151,1233733.8,313142.288941,14.7279844332,558.0,157377.0,83768.0,12.44896755
2015-01-01,315.7,40640955016.6,0.176212540592,1312680.6,335365.290092,22.2627851364,555.0,116012.0,58963.0,8.00307587
2015-01-02,316.15,40640955016.6,0.240703672171,1267761.5,323243.653101,17.5507586455,627.0,168563.0,72234.0,10.72769484
2015-01-03,302.33,40640955016.6,0.275661451061,1242878.63,331324.744428,15.0048125121,734.0,207571.0,82832.0,11.90608788
2015-01-04,270.93,40640955016.6,0.282322337828,1129778.1,335365.290092,13.2029694987,692.0,206228.0,85570.0,20.28810703
2015-01-05,276.8,40640955016.6,0.305494586627,1166988.8,339405.835756,12.4474822139,751.0,193982.0,93753.0,16.96708357
2015-01-06,276.8,40640955016.6,0.299759348487,1089761.6,317182.834605,12.5030013768,639.0,179154.0,87160.0,12.85666757
2015-01-07,276.8,40640955016.6,0.329602499266,1027758.4,299000.379118,11.0616325125,598.0,180992.0,92912.0,13.40521434
2015-01-08,276.8,40640955016.6,0.372434354711,938075.2,272736.832304,9.46346266368,943.0,186319.0,99126.0,14.45388694
2015-01-09,276.8,40640955016.6,0.370821488531,1056268.8,307081.470446,10.0395281862,691.0,201458.0,105211.0,16.14480781
2015-01-10,278.0,40640955016.6,0.3988359803,984120.0,284858.469295,9.29335662685,833.0,251092.0,105895.0,15.44061914
2015-01-11,272.25,40640955016.6,0.336462961573,1004330.25,296980.106286,10.6892541269,755.0,209755.0,93957.0,14.29837347
2015-01-12,270.0,43971662056.1,0.326584280991,1115640.0,358478.281007,11.3626317666,655.0,185802.0,98185.0,32.63994364
2015-01-13,230.89,43971662056.1,0.508351198832,609318.71,229513.533571,6.14914431325,584.0,199744.0,99090.0,14.44909631
2015-01-14,176.5,43971662056.1,0.39826402601,668935.0,330062.319708,6.40245594893,607.0,228898.0,104481.0,15.87551555
2015-01-15,218.11,43971662056.1,0.413363230314,761422.01,303832.201585,6.5760578476,824.0,212403.0,115787.0,16.54900624
2015-01-16,205.35,43971662056.1,0.382308025488,768009.0,325690.633354,6.82492668622,731.0,219873.0,112530.0,15.88562435
2015-01-17,197.12,43971662056.1,0.3661553181,677501.44,299460.515231,7.54128429747,633.0,254267.0,89839.0,12.64597155
2015-01-18,211.18,43971662056.1,0.330078419423,789179.66,325690.633354,9.06613277884,703.0,223392.0,87047.0,12.75025624
2015-01-19,212.39,43971662056.1,0.343385597967,826197.1,338805.692415,8.78036367114,740.0,197559.0,94096.0,15.80453034
2015-01-20,212.99,43971662056.1,0.420680117607,641951.86,262301.181225,6.49157508343,653.0,194860.0,98890.0,14.41535966
2015-01-21,215.2,43971662056.1,0.388014313078,739857.6,299460.515231,7.38005206931,830.0,197159.0,100251.0,13.96816034
2015-01-22,233.9,43971662056.1,0.340373795827,880165.7,327876.476531,9.26695058908,683.0,188687.0,94979.0,13.45202348
2015-01-23,233.03,43971662056.1,0.36177402927,725422.39,271044.553932,8.31744258573,565.0,179966.0,87217.0,13.16868437
2015-01-24,244.64,43971662056.1,0.380717994753,742971.68,264487.024401,8.28931920116,520.0,172854.0,89630.0,12.18056487
2015-01-25,247.11,43971662056.1,0.386314664568,781361.82,275416.240286,9.48738216081,621.0,256121.0,82358.0,12.2871243
2015-01-26,271.47,43971662056.1,0.497747826764,866260.77,277602.083463,8.2169998008,540.0,236920.0,105423.0,16.3312645
2015-01-27,266.03,43971662056.1,0.37378175012,967817.14,316947.260646,9.77247579139,465.0,204121.0,99035.0,13.84178061
2015-01-28,249.25,41272873894.7,0.285818299161,987528.5,324166.338972,11.0601599337,566.0,165874.0,89287.0,12.2880246
